               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.051883,           0.0072588,            0.001988,             0.89333,             0.96314,             0.97593,             0.47581,            0.044959,           0.0055561,           0.0017038,           0.0097327,           0.0097327,           0.0097327
                 110,            0.058249,           0.0080791,           0.0022619,             0.89567,             0.93129,             0.95118,             0.48162,             0.04943,           0.0055733,           0.0017242,           0.0097302,           0.0097302,           0.0097302
                 111,            0.049837,           0.0071238,           0.0021606,             0.91153,             0.96667,             0.95566,             0.53733,            0.041843,           0.0055714,           0.0017691,           0.0097278,           0.0097278,           0.0097278
                 112,            0.054086,           0.0078199,            0.002346,             0.87969,             0.96771,             0.95467,             0.48682,            0.047932,           0.0055523,           0.0019382,           0.0097253,           0.0097253,           0.0097253
                 113,            0.052132,           0.0072799,           0.0021859,             0.90204,             0.95104,             0.96299,             0.46629,            0.047053,           0.0057154,           0.0018221,           0.0097228,           0.0097228,           0.0097228
                 114,            0.053643,           0.0084747,           0.0021848,             0.85799,             0.88046,             0.91753,             0.46985,            0.045741,           0.0057096,           0.0018736,           0.0097203,           0.0097203,           0.0097203
                 115,            0.055288,           0.0076853,           0.0021418,             0.79482,             0.81771,             0.87416,             0.45501,            0.049699,            0.005724,           0.0017853,           0.0097179,           0.0097179,           0.0097179
                 116,            0.054906,           0.0080647,           0.0017506,             0.74686,             0.80104,             0.85057,             0.44331,            0.048625,           0.0057354,           0.0017683,           0.0097154,           0.0097154,           0.0097154
                 117,            0.055141,           0.0081281,           0.0021269,             0.82803,             0.85104,             0.90871,             0.45603,             0.04759,           0.0058079,           0.0021067,           0.0097129,           0.0097129,           0.0097129
                 118,            0.056807,           0.0090023,           0.0025586,             0.88778,             0.85561,             0.89221,             0.45565,            0.047033,           0.0057898,           0.0022528,           0.0097104,           0.0097104,           0.0097104
                 119,            0.051271,           0.0077189,           0.0023202,             0.88111,             0.86771,             0.91824,             0.45702,            0.047502,           0.0058727,           0.0020559,            0.009708,            0.009708,            0.009708
